,x,Q2,y,x,Q2,y,x,Q2,y
,mid,mid,mid,min,min,min,max,max,max
94,0.225,8.771952108542298,0.659,0.2,6.779738402555705,0.573,0.25,11.018553904677141,0.745
95,0.275,10.721274799329475,0.659,0.25,8.474673003194631,0.573,0.3,13.222264685612569,0.745
96,0.35,13.645258835510242,0.659,0.3,10.169607603833558,0.573,0.4,17.629686247483424,0.745
97,0.45,17.543904217084595,0.659,0.4,13.55947680511141,0.573,0.5,22.037107809354282,0.745
98,0.55,21.44254959865895,0.659,0.5,16.949346006389263,0.573,0.6,26.444529371225137,0.745
99,0.6499999999999999,25.341194980233304,0.659,0.6,20.339215207667117,0.573,0.7,30.851950933095996,0.745
100,0.015,0.20492566292110923,0.1775,0.0,0.0,0.154,0.03,0.46411333236217417,0.201
101,0.045,0.6147769887633278,0.1775,0.03,0.3555893193222628,0.154,0.06,0.9282266647243483,0.201
102,0.08,1.0929368689125827,0.1775,0.06,0.7111786386445256,0.154,0.1,1.5470444412072475,0.201
103,0.125,1.7077138576759103,0.1775,0.1,1.1852977310742094,0.154,0.15,2.3205666618108713,0.201
104,0.175,2.3907994007462747,0.1775,0.15,1.7779465966113142,0.154,0.2,3.094088882414495,0.201
105,0.225,3.0738849438166387,0.1775,0.2,2.370595462148419,0.154,0.25,3.8676111030181186,0.201
106,0.275,3.7569704868870026,0.1775,0.25,2.963244327685523,0.154,0.3,4.641133323621743,0.201
107,0.35,4.7815988014925495,0.1775,0.3,3.5558931932226283,0.154,0.4,6.18817776482899,0.201
108,0.45,6.147769887633277,0.1775,0.4,4.741190924296838,0.154,0.5,7.735222206036237,0.201
109,0.55,7.513940973774005,0.1775,0.5,5.926488655371046,0.154,0.6,9.282266647243485,0.201
110,0.6499999999999999,8.880112059914733,0.1775,0.6,7.111786386445257,0.154,0.7,10.829311088450732,0.201
111,0.015,0.2666919894916971,0.231,0.0,0.0,0.201,0.03,0.6026546256046142,0.261
112,0.045,0.8000759684750913,0.231,0.03,0.46411333236217417,0.201,0.06,1.2053092512092285,0.261
113,0.08,1.4223572772890514,0.231,0.06,0.9282266647243483,0.201,0.1,2.008848752015381,0.261
114,0.125,2.2224332457641425,0.231,0.1,1.5470444412072475,0.201,0.15,3.0132731280230716,0.261
115,0.175,3.1114065440698,0.231,0.15,2.3205666618108713,0.201,0.2,4.017697504030762,0.261
116,0.225,4.000379842375457,0.231,0.2,3.094088882414495,0.201,0.25,5.022121880038452,0.261
117,0.275,4.889353140681115,0.231,0.25,3.8676111030181186,0.201,0.3,6.026546256046143,0.261
118,0.35,6.2228130881396,0.231,0.3,4.641133323621743,0.201,0.4,8.035395008061524,0.261
119,0.45,8.000759684750914,0.231,0.4,6.18817776482899,0.201,0.5,10.044243760076904,0.261
120,0.55,9.77870628136223,0.231,0.5,7.735222206036237,0.201,0.6,12.053092512092286,0.261
121,0.6499999999999999,11.55665287797354,0.231,0.6,9.282266647243485,0.201,0.7,14.061941264107668,0.261
122,0.015,0.34635323310610017,0.30000000000000004,0.0,0.0,0.261,0.03,0.7827583068197864,0.339
123,0.045,1.0390596993183006,0.30000000000000004,0.03,0.6026546256046142,0.261,0.06,1.5655166136395728,0.339
124,0.08,1.8472172432325347,0.30000000000000004,0.06,1.2053092512092285,0.261,0.1,2.6091943560659545,0.339
125,0.125,2.8862769425508352,0.30000000000000004,0.1,2.008848752015381,0.261,0.15,3.913791534098932,0.339
126,0.175,4.04078771957117,0.30000000000000004,0.15,3.0132731280230716,0.261,0.2,5.218388712131909,0.339
127,0.225,5.195298496591503,0.30000000000000004,0.2,4.017697504030762,0.261,0.25,6.522985890164886,0.339
128,0.275,6.349809273611837,0.30000000000000004,0.25,5.022121880038452,0.261,0.3,7.827583068197864,0.339
129,0.35,8.08157543914234,0.30000000000000004,0.3,6.026546256046143,0.261,0.4,10.436777424263818,0.339
130,0.45,10.390596993183006,0.30000000000000004,0.4,8.035395008061524,0.261,0.5,13.045971780329772,0.339
131,0.55,12.699618547223674,0.30000000000000004,0.5,10.044243760076904,0.261,0.6,15.655166136395728,0.339
132,0.6499999999999999,15.00864010126434,0.30000000000000004,0.6,12.053092512092286,0.261,0.7,18.264360492461684,0.339
133,0.015,0.45025920303793016,0.39,0.0,0.0,0.339,0.03,1.0182785053319343,0.441
134,0.045,1.3507776091137906,0.39,0.03,0.7827583068197864,0.339,0.06,2.0365570106638686,0.441
135,0.08,2.4013824162022948,0.39,0.06,1.5655166136395728,0.339,0.1,3.3942616844397815,0.441
136,0.125,3.752160025316085,0.39,0.1,2.6091943560659545,0.339,0.15,5.091392526659672,0.441
137,0.175,5.253024035442519,0.39,0.15,3.913791534098932,0.339,0.2,6.788523368879563,0.441
138,0.225,6.753888045568953,0.39,0.2,5.218388712131909,0.339,0.25,8.485654211099455,0.441
139,0.275,8.254752055695388,0.39,0.25,6.522985890164886,0.339,0.3,10.182785053319344,0.441
140,0.35,10.506048070885038,0.39,0.3,7.827583068197864,0.339,0.4,13.577046737759126,0.441
141,0.45,13.507776091137906,0.39,0.4,10.436777424263818,0.339,0.5,16.97130842219891,0.441
142,0.55,16.509504111390775,0.39,0.5,13.045971780329772,0.339,0.6,20.36557010663869,0.441
143,0.6499999999999999,19.51123213164364,0.39,0.6,15.655166136395728,0.339,0.7,23.759831791078472,0.441
